"C, %",Rs/Rs0
0.0,1.0
0.1,0.99441
0.2,0.98882
0.3,0.98323
0.4,0.97764
0.5,0.97232
0.6,0.96699
0.7,0.96166
0.8,0.95634
0.9,0.95127
1.0,0.9462
1.1,0.94113
1.2,0.93606
1.3,0.93098
1.4,0.9259
1.5,0.92083
1.6,0.91575
1.7,0.91052
1.8,0.90528
1.9,0.90005
2.0,0.89482
2.1,0.88969
2.2,0.88456
2.3,0.87943
2.4,0.8743
2.5,0.86931
2.6,0.86432
2.7,0.85932
2.8,0.85433
2.9,0.84909
3.0,0.84385
3.1,0.83861
3.2,0.83337
3.3,0.82816
3.4,0.82295
3.5,0.81774
3.6,0.81253
3.7,0.80748
3.8,0.80242
3.9,0.79737
4.0,0.79232
4.1,0.78735
4.2,0.78238
4.3,0.77742
4.4,0.77245
4.5,0.76726
4.6,0.76206
4.7,0.75686
4.8,0.75167
4.9,0.74663
5.0,0.74159
5.1,0.73655
5.2,0.73151
5.3,0.72666
5.4,0.72181
5.5,0.71696
5.6,0.71211
5.7,0.7072
5.8,0.70229
5.9,0.69738
6.0,0.69247
6.1,0.68783
6.2,0.68319
6.3,0.67855
6.4,0.67391
6.5,0.66922
6.6,0.66454
6.7,0.65985
6.8,0.65516
6.9,0.65036
7.0,0.64556
7.1,0.64076
7.2,0.63596
7.3,0.63118
7.4,0.62639
7.5,0.62161
7.6,0.61683
7.7,0.61217
7.8,0.60751
7.9,0.60285
8.0,0.59819
8.1,0.59374
8.2,0.5893
8.3,0.58486
8.4,0.58041
8.5,0.57578
8.6,0.57114
8.7,0.5665
8.8,0.56187
8.9,0.55749
9.0,0.55312
9.1,0.54875
9.2,0.54437
9.3,0.53959
9.4,0.5348
9.5,0.53002
9.6,0.52524
9.7,0.52081
9.8,0.51638
9.9,0.51196
10.0,0.50753
10.1,0.50329
10.2,0.49906
10.3,0.49482
10.4,0.49059
10.5,0.4865
10.6,0.4824
10.7,0.47831
10.8,0.47422
10.9,0.47012
11.0,0.46603
11.1,0.46193
11.2,0.45784
11.3,0.45365
11.4,0.44946
11.5,0.44526
11.6,0.44107
11.7,0.43702
11.8,0.43298
11.9,0.42893
12.0,0.42489
12.1,0.42126
12.2,0.41762
12.3,0.41399
12.4,0.41036
12.5,0.40664
12.6,0.40292
12.7,0.39919
12.8,0.39547
12.9,0.39198
13.0,0.3885
13.1,0.38501
13.2,0.38152
