"C, %",Rs/Rs0
0.0,1.0
0.1,0.99693
0.2,0.99386
0.3,0.99079
0.4,0.98772
0.5,0.9844
0.6,0.98107
0.7,0.97774
0.8,0.97442
0.9,0.97081
1.0,0.9672
1.1,0.96358
1.2,0.95997
1.3,0.95733
1.4,0.9547
1.5,0.95206
1.6,0.94942
1.7,0.94657
1.8,0.94372
1.9,0.94086
2.0,0.93801
2.1,0.93459
2.2,0.93117
2.3,0.92775
2.4,0.92433
2.5,0.92122
2.6,0.9181
2.7,0.91499
2.8,0.91188
2.9,0.90875
3.0,0.90562
3.1,0.90248
3.2,0.89935
3.3,0.89594
3.4,0.89253
3.5,0.88912
3.6,0.88571
3.7,0.8822
3.8,0.8787
3.9,0.87519
4.0,0.87168
4.1,0.86766
4.2,0.86364
4.3,0.85963
4.4,0.85561
4.5,0.85194
4.6,0.84827
4.7,0.8446
4.8,0.84093
4.9,0.83605
5.0,0.83116
5.1,0.82628
5.2,0.8214
5.3,0.81763
5.4,0.81386
5.5,0.81009
5.6,0.80632
5.7,0.80201
5.8,0.7977
5.9,0.79339
6.0,0.78908
6.1,0.78508
6.2,0.78109
6.3,0.7771
6.4,0.7731
6.5,0.76846
6.6,0.76382
6.7,0.75919
6.8,0.75455
6.9,0.75065
7.0,0.74675
7.1,0.74285
7.2,0.73895
7.3,0.73342
7.4,0.7279
7.5,0.72238
7.6,0.71685
7.7,0.71291
7.8,0.70896
7.9,0.70502
8.0,0.70108
8.1,0.69582
8.2,0.69056
8.3,0.68529
8.4,0.68003
8.5,0.67594
8.6,0.67184
8.7,0.66775
8.8,0.66366
8.9,0.65988
9.0,0.6561
9.1,0.65231
9.2,0.64853
9.3,0.64434
9.4,0.64014
9.5,0.63595
9.6,0.63176
9.7,0.62754
9.8,0.62332
9.9,0.6191
10.0,0.61488
10.1,0.61109
10.2,0.60729
10.3,0.6035
10.4,0.59971
10.5,0.59488
10.6,0.59006
10.7,0.58523
10.8,0.5804
10.9,0.57502
11.0,0.56964
11.1,0.56427
11.2,0.55889
11.3,0.55431
11.4,0.54974
11.5,0.54516
11.6,0.54059
11.7,0.53616
11.8,0.53173
11.9,0.52731
12.0,0.52288
12.1,0.51818
12.2,0.51349
12.3,0.5088
12.4,0.5041
12.5,0.49948
12.6,0.49485
12.7,0.49023
12.8,0.48561
12.9,0.48157
13.0,0.47752
13.1,0.47348
13.2,0.46944
13.3,0.4656
13.4,0.46175
13.5,0.4579
13.6,0.45406
13.7,0.44942
13.8,0.44478
13.9,0.44014
14.0,0.4355
