"C, %",Rs/Rs0
0.0,1.0
0.1,0.99825
0.2,0.9965
0.3,0.99475
0.4,0.993
0.5,0.99125
0.6,0.98966
0.7,0.98807
0.8,0.98631
0.9,0.98439
1.0,0.98247
1.1,0.98063
1.2,0.97878
1.3,0.97701
1.4,0.97532
1.5,0.97362
1.6,0.97207
1.7,0.97052
1.8,0.9689
1.9,0.96723
2.0,0.96556
2.1,0.96386
2.2,0.96215
2.3,0.96038
2.4,0.95853
2.5,0.95668
2.6,0.95484
2.7,0.95301
2.8,0.95113
2.9,0.9492
3.0,0.94728
3.1,0.94541
3.2,0.94354
3.3,0.9415
3.4,0.93931
3.5,0.93711
3.6,0.93533
3.7,0.93356
3.8,0.93173
3.9,0.92984
4.0,0.92795
4.1,0.92618
4.2,0.92441
4.3,0.92248
4.4,0.92041
4.5,0.91833
4.6,0.91674
4.7,0.91515
4.8,0.91357
4.9,0.91202
5.0,0.91047
5.1,0.90881
5.2,0.90716
5.3,0.90537
5.4,0.90344
5.5,0.90152
5.6,0.8994
5.7,0.89728
5.8,0.89535
5.9,0.8936
6.0,0.89186
6.1,0.89
6.2,0.88814
6.3,0.88635
6.4,0.88464
6.5,0.88292
6.6,0.88104
6.7,0.87917
6.8,0.87732
6.9,0.87549
7.0,0.87366
7.1,0.87176
7.2,0.86986
7.3,0.86807
7.4,0.8664
7.5,0.86473
7.6,0.86287
7.7,0.86102
7.8,0.85914
7.9,0.85723
8.0,0.85532
8.1,0.8534
8.2,0.85148
8.3,0.84943
8.4,0.84725
8.5,0.84507
8.6,0.84315
8.7,0.84122
8.8,0.83932
8.9,0.83745
9.0,0.83558
